词根词缀,含义,示例
burs,【词根】袋；囊,reimburse(v.  偿还; 补偿; 归还; 赔偿)
but,/ bQt/conj. 但是；而是；然而。词根：牛,"butter(n.奶油, 黄油)"
by,"/ bai/ 通过；经过【前缀】副,次要的；附近","bypass(n.  旁路, 支路			)"
bys,"词根：尽头end,bottom",abysmal(adj. 深不可测的；糟透的；极度的)
byss,词根：borrom（底）,abyss(  n 深渊（a没有+byss—没有底）)
cab,/ kAb/n.出租马车、汽车。词根：头,captain(n.  陆军上尉; 空军上尉; 海军上校; 船长; 首领)
cac,词根：恶,cacodemon(n. 恶魔)
caco,【前缀】坏的；不好的,"cacophony(n 刺耳的声音(caco刺耳,坏+phony))"
cad,"/ kAd/ n. 卑鄙的男人, 下流人, 无赖【词根】落下",decadence(n.  颓废)
cade,n. 杜松【后缀】队伍，行列,motorcade(n. 汽车行列，车队)
cal,词根：beautiful（美丽）,calligraphy (  n  书法)
calam,词根：misfortune（不幸）,calamity(n. 灾难；不幸事件)
calc,【计】 计算【词根】石，小石子，计算,calculate(v.  计算; 预测; 估计; 推测; 计算)
calcul,词根：石，计算,"calculus(n.	微积分；结石)"
cale,词根：heat热,calefy(vt. 使…变暖)
calend,词根：first day（每月第一天）,calendar (     n  日历)
call,/ kR:l/vi. 呼叫；拜访；叫牌【词根】硬皮,callous(n. 硬皮；老茧)
calli,词根：美,callisthenic（adj. 柔软体操的；健美体操的）
calor,【词根】热,calorie(n.  卡路里)
calori,"词根：热,热的",calorifacient（adj. 发热的；产生热量的）
cam,n. 凸轮【词根】遮盖，室,"camera(n.  照相机, 摄影机; 暗室)"
camb,词根：睡，卧，躺,camber（n. 弧形；小船坞；曲弧度）
camer,词根：房间,"camera(n.  照相机, 摄影机; 暗室)"
camera,"/ 'kAmErE/ n. 照相机, 摄影机, 密谈室【词根】房间",unicameral（adj. 单院的；一院制的）
camp,/ kAmp/n. 露营  vi. 露营；扎营【词根】田野；原野,campsite(n.  野营地; 露营预定地)
can,"/ kAn/n.罐头, 铁罐。词根：知道；管，小容器","canal(n.  运河; 灌溉水渠; 河渠, 水道; 管, 道)"
cand,n. 萤石【词根】白色的；光亮的,candle(n.蜡烛；烛形物；烛光)
cant,"/ kAnt/n.伪善之言, 黑话, 隐语, 斜面【词根】唱歌","cantata(n.  清唱剧, 大合唱, 圣歌谣曲)"
cap,/ kAp/n.帽子【词根】头；拿；捉住,incapable(a.无能力的；无资格的)
capill,词根：毛发,capillary（adj. 毛细管的；毛状的）
capit,词根：头,capital(n. 首都，省会；资金；大写字母；资本家)
capr,词根：山羊,caprice(n. 任性，反复无常（capr山羊+ice…像山羊一样乱蹦…任性）)
caps,词根：容器，盒子,capsule(n. 胶囊；[植] 蒴果；太空舱；小容器)
capt,词根：表示“拿，抓，握住”,capture(v.  俘获; 夺取; 捕获)
car,/ ka:/n. 汽车；车厢【词根】车；跑,carry(vt.携带；运载；传送)
carb,词根：碳,carbide(无化] 碳化物)
carcer,词根：监狱 ,incarcerate(vt. 监禁；下狱；禁闭)
card,n. 卡片；纸牌【词根】心,cordiform(adj. 心形的)
cardi,词根：心,cardiac(adj. 心脏的；心脏病的)
cari,词根：腐烂,caries(n. [口腔] 龋齿；骨疡；骨溃疡)
caric,词根：load（过分）,caricature(n. 漫画；讽刺画；漫画手法)
carn,n. 堆石标记；肉【词根】肉,"carnal(adj.  肉体的, 肉欲的)"
carp,/ kB:p/n.鲤鱼;vi.吹毛求疵【词根】果实,pericarp(n. 果皮)
carpo,词根：果实,carpology（n. 果实学；[植] 果实分类学）
carstin,词根：明天,procrastinate（v. 耽搁，延迟（(pro很多+crastin明天+ate→有许多明天明日复明日→拖延)））
cart,n. 二轮运货马车【词根】车，纸,carton(n 纸板(箱)(cart=card纸板+on))
carv,词根：写，画，划,carve(vt. 雕刻；切开；开创)
cas,【词根】落下,"cascade(n.  小瀑布; 波浪, 波状物)"
cast,/ ka:st/vi.投掷；投射；抛【词根】投掷,telecast(n.  电视广播)
cat,/ kAt/n.猫【前缀】下面,category(n.种类，类目；范畴)
cata,n. 渺位【前缀】下面,"catalogue(n目录,一览表(cata下面+logue在下面要说的话=目录))"
caten,词根：chain（链）,catena(n. 连续，系列)
cath,词根：泄、通,catheter(n. [医] 导管；导尿管；尿液管)
cathar,词根：pure（纯洁）,catharsis(n. [医] 泻法，导泻；净化)
cathol,词根：general（普通的）,"catholic(adj. 天主教的；宽宏大量的,普遍的，一般的)"
cau,词根：烧，热,caustic（adj.  腐蚀性的; 刻薄的）
caud,词根：尾部,caudal（adj. 近尾部的，[解剖][动] 尾部的）
caul,/ kR:l/ n. [胚] 胎膜；大网膜【词根】stem（根，杆）,cauliflower( n 花菜（从根上长出花来）)
caus,词根：原因，砍，击,cause(n. 原因；事业；目标)
cause,"/ kR:z/n.原因, 导致某事发生的人或事【词根】理由",because（conj.  因为）
caust,词根：bun（烧）,holocaust( n. 大屠杀；毁灭（holo全部+caust—全部烧光）)
caut,【词根】燃烧;听，看，注意,cauterize(vt. 烧灼；腐蚀；使麻木)
cav,【词根】中空的,cave(n.山洞，洞穴，窑洞)
caval,【医】 腔静脉的【词根】horse（马）,cavalier (n. 骑士；武士；对女人献殷勤)
cay,"/ kei/ n. 沙礁, 珊瑚礁, 沙洲【词根】fall降落",decay(v. 衰退(（de向下＋cay=落下→向下掉→衰退）))
ce,【后缀】表示抽象名词,province(n.领域，范围，职权)
ceal,词根：遮盖，隐藏,conceal(vt. 隐藏；隐瞒)
ceas,词根：走；停止,unceasing（adj. 不断的；不停的(un- 不； ceas(e) 停止；-ing 形容词后缀，表示“…的”)) 
ced,【词根】行走,"recede(v.  退, 后退; 变模糊, 变淡; 远去; 变得渺茫)"
cede,vt.放弃【词根】走；让步,"recede(v.  退, 后退; 变模糊, 变淡; 远去; 变得渺茫)"
ceed,【词根】走；让步,exceed(vt.超过，胜过；超出)
ceipt,"【词根】拿,抓,握住",receipt(n.收到；收条，收据)
ceit,词根：抓，取,conceit(n.自负，自高自大)
ceiv,词根：抓，取,receiver(n.接待者；收受者)
ceive,"【词根】拿,抓,握住",deceive(vt.欺骗，蒙蔽，行骗)
cel,动画序列中的单帧【词根】天空【后缀】表小称或“缩小”,parcel(n.包裹，小包，邮包)
cele,后缀：表示“腔”，“瘤”，“肿”，“膨出”，“疝”,blastocele（n. 囊胚腔；分裂腔）
celebr,词根：honor（荣誉）,celebrate(vt. 庆祝；举行；赞美)
celer,【词根】快速的,accelerate(vt.(使)加快；促进)
celib,词根：single（单个）,celibacy (n 独身)
cell,/ sel/n. 细胞；电池【词根】小房间；隐藏,cellar(n.  地窖; 酒窖; 地下室)
cem,词根：躺，床，家，城市,cemetery(n.  墓地; 公墓)
cen,词根：白，白热，发光,incendiary(n. 燃烧弹；纵火犯，放火者；煽动者)
cend,"词根：白,白热,火光；爬",incendiary(adj. 煽动的；放火的，纵火的)
cens,"词根：判断,评价;闪光，白",censor(n.  检查员)
cent,/ sent/n. 分；一分的硬币【词根】百；唱歌,century(n.世纪，百年)
centi,"n. 厘；百分之一【前缀】百,百分之一",centigrade(a.百分度的)
centr,【词根】中心,central(a.中心的；主要的)
centri,词根：中心,eccentricity(n. 古怪；怪癖；[数] 离心率)
cep,词根：拿,accept（vt. 接受；承认；承担；承兑；容纳）
cephal,词根：头,cephalalgia(n. 头痛)
cept,"【词根】拿,抓,握住","intercept(拦截,阻止(inter在…中间+cept拿住=拦截))"
cer,n. 陶瓷【词根】硬,ceramic(adj.  陶器的; 制陶艺术的)
ceram,词根：earth（陶土）,ceramic(adj. 陶瓷的；陶器的)
cerebr,【词根】脑,cerebral(adj.  脑的; 大脑的)
cern,"【词根】分开，放,搞清，区别","discern(辨别,区分(dis分开+cern=分开搞清=区别))"
cerpt,【词根】拿,excerpt(n.  摘录; 引用)
cert,/ sE:t/ n. 必然的事情【词根】确定的,"certainty(n. 	确实性，确信，确实)"
certi,词根：确凿，可靠;信誉，信用,certitude(n. 确信；确实)
ces,词根：行走,access（vt. 使用；存取；接近）
cess,"/ ses/ n. 地方税, 土地税, 特种税【词根】走；让步",successor(n.继承人，继任者)
cest,词根：行走，前进；纯洁,ancestor（n. 始祖，祖先；被继承人（an=ante+cest=cess+or→走在前面的人→祖先））
chal,词根：叫喊；要求；小石,challenge(n. 挑战；怀疑)
chame,词根：ground（地）,chameleon (n 变色龙（chame+leon狮子—地上的狮子—变色龙）)
chand,词根：蜡烛；火，光，热,chandelier(n. 枝形吊灯)
chann,词根：管，小容器,channel(vt. 引导，开导；形成河道)
chans,词根：歌唱；下降；降落；天意,chanson（n. （法）歌曲；小调；法国香颂）
chant,/ tFa:nt/ vi. 唱歌；反覆地唱歌【词根】唱歌,enchant(vt.迷住；用魔法迷惑)
chap,"/ tFAp/  n.男人；小伙子；家伙【词根】头,首,冠",chapeau(n. 帽子)
char,"vi. 烧焦；打杂【词根】车,跑;喜欢，渴望",discharge(vt.释放；排出)
chara,"vi. 烧焦；打杂【词根】性质;磨,擦,刮,涂",character(n. 性格，品质；特性)
charg,词根：装载,discharge（vt. 解雇；卸下；放出；免除）
chart,n. 图表；海图；图纸【词根】纸,flowchart（n.  流程图; 作业图）
chast,【词根】纯洁的,chaste(a 纯洁的(chast=pure))
cheir,词根：hand手,cheirospasm(n.【医学】手痉挛)
chem,【词根】化学,chemical(n. 化学制品，化学药品)
chemico,词根：chemitry化学,chemicophysical(adj.化学的和物理的)
chemo,n. 化疗（等于chemotherapy）；化学疗法【词根】化学,chemotherapy(n. [临床] 化学疗法)
cher,词根：喜欢，渴望,cherish(vt. 珍爱)
chiev,词根：头,achieve(vt. 达到；完成)
chil,"词根：冷,冻",chill(n. 寒冷；寒意；寒心)
chili,"n. 干辣椒, 辣椒粉【前缀】千",chiliad(n. 一千年)
chir,【词根】手,chiropractic(n.脊椎指压治疗法)
chiro,n.海鲢【词根】手,chirology(n.  手之研究)
chis,词根：挖；切,chisel(n. 凿子（chis挖+el）)
chival,词根：马匹,chivalrous adj.骑士的
chlor,词根：绿 ,chloral(n. 三氯乙醛)
chloro,词根：氯，绿,chlorophyll(n. [植][生化] 叶绿素)
choic,词根：尝，选,choice(n. 选择；选择权；精选品)
chok,词根：契合，塞住,choky（adj. 透不过气来的；窒息的）
chol,词根：黄色，发光,n. [生化] 胆固醇
chondr,词根：cartilage（软骨）,hypochondria(n. 忧郁症；臆想病（hypochondrium的复数）)
choos,词根：尝，选,choose(vt. 选择，决定)
chor,词根：表示“歌，舞”,chorus(n.  合唱; 齐声; 合唱队)
chri,词根：磨，擦，刮，涂,chrism(n. 圣油；圣油仪式)
chro,词根：颜色,achromatic（adj. 消色差的；非染色质的；非彩色的）
chrom,词根：表示“颜色”,"chromatic(adj.  彩色的, 染色性的, 着色的)"
chromat,"词根：铬,颜色,色素",chromate（n. 铬酸盐）
chron,【词根】时间,chronology(n.  年代学; 年表)
chrys,词根：黄色;金,chrysanthemum(n. 菊花（chrys黄色anthem花+um）)
chtys,词根：golden（金色）,chrysanthemum( n 菊花)
cian,后缀：表示人的职业,logician(n. 逻辑学家；论理学者)
cid,【词根】落下,"accident(n.  意外事件, 机遇, 事故(ac(to)+cid(降落)+ent(物))"
cide,【词根】切割;杀,"suicide(vi.&vt.自杀 			)"
cil,词根：喊，回响，召唤，清楚；表示“召集”,reconcile(v 和解(re再+con+cil+e=[双方]再次召集到一起=和解))
cili,词根：眼皮eyelid,cilia(n. 纤毛；睫毛)
cin,词根：激起，唤起,cinema(n.  电影院; 电影)
cinct,【词根】绑；环绕,"precinct(区域,范围(pre+cinct捆=预先捆好的=范围))"
cine,n. 电影【词根】运动,cinecamera(n. 电影摄影机)
cinemat,词根：film电影,cinematic（adj. 电影的；影片的）
ciner,词根：ash（灰）,incinerate(vt. 焚化；烧成灰)
cintamin,词根：pollute（污染）,contaminate(vt. 污染，弄脏)
cip,【词根】拿,reciprocate(v.交换; 互给; 报答)
cipit,词根：表示“头”,precipitate(n.  沉淀物)
cir,"词根：圆,环",circular（adj. 循环的；圆形的；间接的）
circ,【计】 广义圈【词根】圆；环,circular(a.圆的；循环的)
circu,【前缀】环绕；在…周围,circuit(n.电路；环行；巡行)
circum,"n. 环绕，周围【前缀】周围,环绕",circumference(n.圆周，周长，圆周线)
cirl,词根：环绕，周围,circle（n. 循环，周期；圆；圈子）
cirr,"词根：触毛,卷须,卷云",cirrus（n. 藤蔓；[动] 触毛；[植] 卷须）
cirro,"词根：触毛,卷须,卷云",cirrostratus（n. [气象] 卷层云）
cis,【词根】切,decision(n.决定，决心；果断)
cise,【词根】切割,excise(切除(ex+cise切=切出=切除))
cist,"/ sist/ n. 石棺, 墓窖, 圣器箱【词根】box（盒子）",cistern(n. 水箱；水池；贮水器)
cit,n. 市民【词根】召唤,incite(v.  激励; 煽动; 激起)
cite,"/ sait/vt.引用, 引证, 提名表扬【词根】召唤；驱策","excitement(n.  刺激; 令人兴奋的事; 兴奋, 激动)"
citr,"词根：柠檬,柑橘",citral（n. [有化] 柠檬醛）
civ,【词根】市民,"civilian(n.	平民 			)"
civi,【词根】公民,civic(adj.  市的; 公民的; 市民的)
cl,词根：粘，连，球，块，抓,"cloud(n.  云, 云状的烟, 忧色)"
cla,词根：喊，回响，召唤，清楚,"exclaim(v.  呼喊; 大声叫嚷; 惊叫; 大声说出, 叫喊着说出)"
claim,/ kleim/  n.(据权利提出的)要求【词根】大叫,"exclaim(v.  呼喊; 大声叫嚷; 惊叫; 大声说出, 叫喊着说出)"
clair,词根：表示“清楚，明白”,clairvoyance(n.  透视; 千里眼; 洞察力)
clam,/ klAm/n. 蛤；沉默寡言的人；钳子【词根】大叫,exclamation(n.呼喊，惊叫；感叹)
clandestin,词根：secret（秘密）,clandestine(adj. 秘密的，私下的)
clar,【词根】清楚的；清澈的,declare(vt.断言；声明；表明)
claus,【词根】关闭,claustrophobia(n.  幽闭恐怖症)
clav,词根：钥匙key,enclave(n. 飞地（指在本国境内的隶属另一国的一块领土）；被包围的领土；被包围物)
cle,【后缀】表小称或“缩小”,particle(n.粒子，微粒)
cleav,词根：分离；粘住,cleaver（n. 切肉刀；[五金] 劈刀）
clen,【词根】倾斜,declension(n.词尾变化； 格变化； 倾斜； 衰退) 
cli,"词根：lean倾,斜",climax(n. 高潮；顶点；层进法；极点(cli倾斜max最大->斜线上最高点))
clim,【词根】气候；顶点,"climax(n.  高潮, 层进法, 极点)"
clin,"【词根】倾斜,弯曲","decline(v.下降, 下跌; 衰退, 衰落; 减少; 倾斜)"
cliv,词根：表示“倾斜，斜坡”,proclivity(n.  倾向; 气质; 癖性)
clois,词根：关闭,cloister（n. 回廊；修道院；修道院生活；隐居地）
clos,adv. 秘密地【词根】关闭,enclose(vt.围住，圈起；附上)
close,"/ klEuz, klEus/  关；关上【词根】关闭",enclose(vt.围住，圈起；附上)
clud,【词根】关闭,"conclude结束,总结(con+clude关闭=全部关闭=结束))"
clus,【词根】关闭,inclusive(a.包围住的；包括的)
clys,词根：dash（猛冲）,cataclysm(n. 灾难；大洪水，地震)
cmul,词根：heap（堆积）,accumulate (v 积累)
co,【前缀】一起；共同；联合,"cognate(a 同族的,同种的(cog同+nate=同出生的=同种的))"
coars,"词根：跑,发生",coarse（adj. 粗糙的；粗俗的；下等的（coarse=course跑过去→粗糙的））
coc,词根：煮,precocious(adj. 早熟的(pre提早+coc+ious→提早熟→早熟的)
coct,【词根】烹调,"concoct(v 编造,虚构(con全部+coct=全部是调配出来的=编造))"
